"Grande Região","Ano","Produto Interno Bruto a preços correntes (Mil Reais)","Valor adicionado bruto a preços correntes total (Mil Reais)","Valor adicionado bruto a preços correntes da agropecuária (Mil Reais)","Valor adicionado bruto a preços correntes da indústria (Mil Reais)","Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)","Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)"
"Centro-Oeste","2011","400152794","346704094.737","34314623.151","59641497.787","157572133.483","95175840.327"
"Centro-Oeste","2012","444538054","385829044.037","41673745.279","64842184.961","179443463.448","99869650.350"
"Centro-Oeste","2013","485623020","424337748.083","46306842.864","71525205.698","194084841.929","112420857.605"
"Centro-Oeste","2014","542632030","478946127.660","47690977.545","77214968.085","230090168.319","123950013.712"
"Centro-Oeste","2015","579746186","512781854.762","49701937.308","81303758.488","243858553.102","137917605.832"
"Centro-Oeste","2016","633072229","563083969.334","61552594.466","83860581.007","265844147.754","151826646.116"
"Centro-Oeste","2017","659912882","585661806.058","57979950.645","81685333.521","282679469.408","163317052.489"
"Centro-Oeste","2018","694910923","618892829.871","64908633.544","86438210.578","296250896.281","171295089.463"
"Centro-Oeste","2019","731351478","649883391.579","65485900.940","89700172.059","312351417.786","182345900.806"
"Centro-Oeste","2020","791250736","709720148.366","102695867.800","109044809.377","309062719.378","188916751.797"
